iter	Passed	Remaining
403	9786	12014
404	9807	11987
405	9829	11960
406	9853	11936
407	9876	11910
408	9901	11886
409	9925	11862
410	9949	11837
411	9974	11813
412	9997	11788
413	10021	11764
414	10046	11741
415	10070	11717
416	10095	11692
417	10119	11668
418	10144	11645
419	10166	11618
420	10187	11591
421	10209	11563
422	10233	11539
423	10257	11515
424	10280	11490
425	10304	11465
426	10327	11439
427	10362	11427
428	10387	11404
429	10410	11378
430	10432	11351
431	10455	11326
432	10476	11299
433	10500	11274
434	10525	11251
435	10549	11226
436	10573	11202
437	10595	11176
438	10619	11151
439	10643	11126
440	10664	11099
441	10687	11074
442	10711	11049
443	10736	11026
444	10760	11002
445	10782	10976
446	10805	10950
447	10828	10925
448	10851	10899
449	10873	10873
450	10895	10847
451	10916	10820
452	10939	10794
453	10965	10771
454	10990	10748
455	11012	10722
456	11037	10699
457	11060	10674
458	11082	10648
459	11107	10624
460	11132	10601
461	11155	10576
462	11178	10550
463	11200	10524
464	11221	10497
465	11245	10472
466	11267	10447
467	11292	10423
468	11314	10397
469	11337	10372
470	11361	10348
471	11384	10323
472	11407	10298
473	11433	10275
474	11457	10251
475	11479	10225
476	11503	10201
477	11526	10176
478	11548	10150
479	11573	10126
480	11595	10100
481	11620	10077
482	11643	10052
483	11667	10028
484	11691	10004
485	11714	9979
486	11738	9955
487	11761	9929
488	11783	9903
489	11804	9877
490	11829	9853
491	11853	9829
492	11874	9802
493	11896	9777
494	11920	9752
495	11943	9728
496	11967	9704
497	11991	9679
498	12013	9654
499	12037	9629
500	12061	9605
501	12084	9580
502	12106	9555
503	12128	9529
504	12151	9504
505	12172	9478
506	12195	9453
507	12218	9428
508	12242	9404
509	12265	9379
510	12289	9355
511	12312	9330
512	12335	9305
513	12359	9281
514	12382	9256
515	12406	9233
516	12429	9207
517	12451	9182
518	12473	9156
519	12495	9131
520	12519	9107
521	12542	9082
522	12565	9057
523	12587	9031
524	12611	9008
525	12634	8983
526	12658	8959
527	12682	8935
528	12705	8910
529	12728	8885
530	12750	8860
531	12774	8836
532	12798	8812
533	12820	8787
534	12845	8763
535	12869	8739
536	12892	8715
537	12914	8690
538	12936	8664
539	12957	8638
540	12980	8613
541	13016	8597
542	13042	8575
543	13064	8549
544	13087	8524
545	13111	8501
546	13134	8476
547	13157	8451
548	13180	8427
549	13203	8402
550	13226	8377
551	13251	8354
552	13275	8329
553	13298	8305
554	13320	8280
555	13342	8255
556	13364	8229
557	13386	8204
558	13409	8180
559	13432	8155
560	13454	8130
561	13477	8105
562	13501	8081
563	13525	8057
564	13548	8033
565	13571	8008
566	13596	7985
567	13620	7961
568	13644	7937
569	13667	7912
570	13690	7888
